Student_ID,Gender,Attendance_Rate,Social_Media_Hours,Study_Hours_per_Day,Physics,Maths,Biology,Chemistry,Past_Exam_Scores,Final_Exam_Score,Pass_Fail
S147,Male,68.26784098,8,7,31,67,74,77,86,65,Pass
S136,Male,78.22292713,9,8,72,30,71,61,73,67,Pass
S209,Female,87.52509624,9,7,45,43,45,88,74,58,Pass
S458,Female,92.07648302,5,12,35,96,45,79,99,81,Pass
S078,Female,98.65551746,8,8,74,37,51,51,63,53,Pass
S417,Male,84.15919282,8,7,88,95,38,47,77,70,Pass
S302,Male,89.38949444,9,7,37,56,58,86,95,69,Pass
S009,Male,50.68359824,8,8,35,86,34,52,78,59,Pass
S044,Female,80.8631856,8,8,93,30,35,83,94,70,Pass
S331,Male,65.49684631,8,8,65,31,49,91,86,65,Pass
S451,Female,69.83246865,8,7,31,94,65,89,58,53,Pass
S059,Male,92.10457075,7,11,91,68,99,47,95,85,Pass
S315,Male,78.8815977,9,7,92,50,72,52,81,74,Pass
S295,Female,66.60732063,9,7,72,46,39,89,64,64,Pass
S141,Female,62.21765777,10,8,54,55,97,60,62,61,Pass
S274,Female,55.03973015,8,7,64,58,75,76,71,64,Pass
S327,Male,93.03160089,5,12,87,35,83,92,78,76,Pass
S413,Female,71.08519673,6,12,93,80,82,70,81,76,Pass
S452,Female,97.70434683,8,7,41,66,72,71,55,56,Pass
S386,Female,85.19730676,8,7,31,59,95,55,62,57,Pass
S458,Female,92.07648302,5,12,70,82,83,77,99,87,Pass
S079,Male,80.09676978,7,12,59,56,68,95,79,76,Pass
S375,Male,97.22048628,5,12,34,78,55,91,93,77,Pass
S384,Male,93.82220379,10,4,43,86,52,62,57,48,Fail
S207,Female,89.07572409,6,12,86,37,64,52,92,79,Pass
S071,Female,70.01502445,8,8,86,78,43,41,69,62,Pass
S489,Male,99.02884001,8,7,37,95,36,81,85,64,Pass
S066,Female,78.98249672,8,7,66,67,50,77,96,75,Pass
S018,Female,68.89252746,8,7,37,79,67,94,66,61,Pass
S015,Female,79.25747662,8,8,40,71,61,94,67,65,Pass
S155,Male,50.91212407,8,8,78,67,56,78,52,57,Pass
S159,Male,78.79992089,10,8,35,64,47,65,91,66,Pass
S368,Female,77.83607924,10,7,80,34,72,39,95,68,Pass
S104,Female,96.20208796,5,12,32,91,98,82,83,79,Pass
S329,Female,59.22314357,6,11,96,87,47,93,96,87,Pass
S397,Female,93.053401,8,7,52,73,41,64,81,63,Pass
S097,Female,68.86429826,8,7,85,39,51,86,92,75,Pass
S112,Male,84.35827527,7,11,40,77,84,97,94,83,Pass
S370,Male,90.26574837,8,8,46,84,89,79,74,62,Pass
S463,Female,73.71186544,10,7,76,41,48,52,77,63,Pass
S060,Male,88.44588707,5,12,94,58,39,93,78,79,Pass
S041,Male,81.96806785,8,7,53,39,81,92,67,69,Pass
S097,Female,68.86429826,5,11,76,98,78,53,92,76,Pass
S216,Male,65.80982911,9,7,43,65,52,30,92,62,Pass
S430,Female,86.60922892,6,12,78,60,37,58,79,76,Pass
S377,Female,70.31961541,8,8,33,63,76,60,85,62,Pass
S187,Female,60.08652312,9,8,88,89,67,91,78,75,Pass
S233,Female,66.6407893,8,8,68,90,41,49,78,60,Pass
S166,Male,85.92286354,9,8,76,65,38,38,83,64,Pass
S207,Female,89.07572409,6,12,38,59,80,83,92,76,Pass
S419,Female,76.48308393,8,8,76,40,30,51,82,71,Pass
S033,Female,90.81928676,9,8,92,50,99,72,88,73,Pass
S185,Male,77.4301559,8,7,51,37,57,87,94,69,Pass
S057,Female,89.82358878,8,8,30,92,48,56,84,62,Pass
S372,Female,80.15987011,9,7,63,56,81,78,63,64,Pass
S395,Male,88.69172616,10,8,57,48,54,47,80,72,Pass
S211,Male,91.25663383,10,8,55,87,63,42,85,64,Pass
S361,Female,62.6944282,10,4,49,80,94,68,56,49,Fail
S382,Female,92.40640477,9,7,94,95,42,64,51,57,Pass
S389,Male,66.79329286,8,7,87,63,38,91,70,64,Pass
S387,Male,95.53120018,8,8,39,70,42,90,66,61,Pass
S380,Male,81.66203875,5,12,76,79,57,36,97,77,Pass
S020,Male,60.25226643,5,12,79,30,60,75,80,76,Pass
S445,Female,91.85394954,10,7,56,35,71,52,93,73,Pass
S380,Male,81.66203875,5,11,59,57,77,72,97,86,Pass
S099,Female,93.41505535,9,8,44,67,46,30,88,63,Pass
S448,Female,86.07664306,8,7,76,30,76,63,60,61,Pass
S408,Female,87.08434721,5,12,58,77,98,89,73,76,Pass
S089,Female,56.43741991,10,7,48,80,82,40,58,64,Pass
S049,Female,54.55010455,9,7,47,81,98,80,91,71,Pass
S194,Male,80.30509405,8,8,88,61,94,73,62,57,Pass
S121,Female,59.11419392,8,8,53,99,62,91,55,55,Pass
S362,Male,59.80565498,10,3,95,38,39,59,52,48,Fail
